msg_count,mid_price,imbalance,best_bid,best_ask,spread
7203,19.955,-150300,19.96,19.95,-0.01
7204,19.955,-151500,19.96,19.95,-0.01
7209,19.955,-151400,19.96,19.95,-0.01
7212,19.955,-150900,19.96,19.95,-0.01
7213,19.955,-150800,19.96,19.95,-0.01
7214,19.955,-152000,19.96,19.95,-0.01
7216,19.955,-153200,19.96,19.95,-0.01
7218,19.955,-153100,19.96,19.95,-0.01
7221,19.955,-154300,19.96,19.95,-0.01
7222,19.955,-154200,19.96,19.95,-0.01
7223,19.955,-154100,19.96,19.95,-0.01
7224,19.955,-155300,19.96,19.95,-0.01
7227,19.955,-156500,19.96,19.95,-0.01
7228,19.955,-157000,19.96,19.95,-0.01
7230,19.955,-156900,19.96,19.95,-0.01
7301,19.955,-156800,19.96,19.95,-0.01
7302,19.955,-158000,19.96,19.95,-0.01
7306,19.955,-158500,19.96,19.95,-0.01
7307,19.955,-158000,19.96,19.95,-0.01
7308,19.955,-157200,19.96,19.95,-0.01
7312,19.955,-156400,19.96,19.95,-0.01
7327,19.955,-157600,19.96,19.95,-0.01
7329,19.955,-157500,19.96,19.95,-0.01
7331,19.955,-157000,19.96,19.95,-0.01
7335,19.955,-158200,19.96,19.95,-0.01
7336,19.955,-159400,19.96,19.95,-0.01
7338,19.955,-159300,19.96,19.95,-0.01
7339,19.955,-160500,19.96,19.95,-0.01
7340,19.955,-161700,19.96,19.95,-0.01
7341,19.955,-162900,19.96,19.95,-0.01
7343,19.955,-164100,19.96,19.95,-0.01
7346,19.955,-163100,19.96,19.95,-0.01
7348,19.955,-163000,19.96,19.95,-0.01
7349,19.955,-162000,19.96,19.95,-0.01
7351,19.955,-161900,19.96,19.95,-0.01
7352,19.955,-163100,19.96,19.95,-0.01
7353,19.955,-164300,19.96,19.95,-0.01
7354,19.955,-165500,19.96,19.95,-0.01
7355,19.955,-166000,19.96,19.95,-0.01
7364,19.955,-167200,19.96,19.95,-0.01
7365,19.955,-167100,19.96,19.95,-0.01
7366,19.955,-168300,19.96,19.95,-0.01
7367,19.955,-169500,19.96,19.95,-0.01
7370,19.955,-170000,19.96,19.95,-0.01
7371,19.955,-171200,19.96,19.95,-0.01
